Record,Action,Time,Policy,Enforcement,User,Log Level,From resource name,To resource name,Host,Application,Attributes,,,,,,,,,,,,,,,,,,,
26,Move,9/1/2008,/Cfolder3/CPolicy3,Deny,john.adams@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,SharePoint://sharepoint2007:80/sharepoint2007/ReporterSite/Requirements library/copy of PA_prd.doc,cch1.qapf.qalab01.nextlabs.com  10.23.57.200,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Title:Requirements for Policy Author,Resource Signature:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Created by:sharepoint2007\Administrator,Modified by:sharepoint2007\Administrator,Date Created:07-15-2007,Date Modified:02-15-2007,Format:doc,Keywords:PAPRD,Publisher:james garfield,Revision:2.1,Source:sourcedoc2,Status:Final,Subject:Policy Author,Version:V0.7,Custom:~,Obligation: Log SharePoint Control,Department:Finance,,
27,Delete,9/19/2008,/Cfolder3/CPolicy3,Deny,john.adams@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,,cch1.qapf.qalab01.nextlabs.com  10.23.57.200,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Title:Requirements for Policy Author,Resource Signature:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Created by:sharepoint2007\Administrator,Modified by:sharepoint2007\Administrator,Date Created:07-15-2007,Date Modified:02-15-2007,Format:doc,Keywords:PAPRD,Publisher:james garfield,Revision:2.1,Source:sourcedoc2,Status:Final,Subject:Policy Author,Version:V0.7,Custom:~,Obligation: Log SharePoint Control,Department:Finance,,
Department4:Sales; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Attach to Item,4/1/2006,/Cfolder3/CPolicy4,Deny,chester.arthur@qapf.qalab01.nextlabs.com,2,SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,,cch1.qapf.qalab01.nextlabs.com  10.23.57.200,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Title:Requirements for Policy Author,Resource Signature:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Created by:sharepoint2007\Administrator,Modified by:sharepoint2007\Administrator,Date Created:07-15-2007,Date Modified:02-15-2007,Format:doc,Keywords:PAPRD,Publisher:james garfield,Revision:2.1,Source:sourcedoc2,Status:Final,Subject:Policy Author,Version:V0.7,Custom:~,Obligation: Log SharePoint Control,Department:Sales,,
29,Open,5/1/2007,/Cfolder3/CPolicy4,Deny,gerald.ford@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,,cch1.qapf.qalab01.nextlabs.com  10.23.57.200,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Title:Requirements for Policy Author,Resource Signature:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Created by:sharepoint2007\Administrator,Modified by:sharepoint2007\Administrator,Date Created:07-15-2007,Date Modified:02-15-2007,Format:doc,Keywords:PAPRD,Publisher:james garfield,Revision:2.1,Source:sourcedoc2,Status:Final,Subject:Policy Author,Version:V0.7,Custom:~,Obligation: Log SharePoint Control,Department:Sales,,
30,Rename,6/1/2005,/Cfolder3/CPolicy4,Deny,andrew.jackson@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,SharePoint://sharepoint2007:80/sharepoint2007/ReporterSite/Requirements library/copy of PA_prd.doc,cch1.qapf.qalab01.nextlabs.com  10.23.57.200,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Title:Requirements for Policy Author,Resource Signature:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Created by:sharepoint2007\Administrator,Modified by:sharepoint2007\Administrator,Date Created:07-15-2007,Date Modified:02-15-2007,Format:doc,Keywords:PAPRD,Publisher:james garfield,Revision:2.1,Source:sourcedoc2,Status:Final,Subject:Policy Author,Version:V0.7,Custom:~,Obligation: Log SharePoint Control,Department:Sales,,
31,Create/Edit,7/1/2006,/Cfolder3/CPolicy4,Deny,jimmy.carter@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,SharePoint://sharepoint2007:80/sharepoint2007/ReporterSite/Requirements library/copy of PA_prd.doc,cch1.qapf.qalab01.nextlabs.com  10.23.57.200,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Title:Requirements for Policy Author,Resource Signature:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Created by:sharepoint2007\Administrator,Modified by:sharepoint2007\Administrator,Date Created:07-15-2007,Date Modified:02-15-2007,Format:doc,Keywords:PAPRD,Publisher:james garfield,Revision:2.1,Source:sourcedoc2,Status:Final,Subject:Policy Author,Version:V0.7,Custom:~,Obligation: Log SharePoint Control,Department:Sales,,
32,Print,7/1/2006,/Cfolder3/CPolicy4,Deny,john.tyler@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,,cch1.qapf.qalab01.nextlabs.com  10.23.57.200,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Title:Requirements for Policy Author,Resource Signature:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Created by:sharepoint2007\Administrator,Modified by:sharepoint2007\Administrator,Date Created:07-15-2007,Date Modified:02-15-2007,Format:doc,Keywords:PAPRD,Publisher:james garfield,Revision:2.1,Source:sourcedoc2,Status:Final,Subject:Policy Author,Version:V0.7,Custom:~,Obligation: Log SharePoint Control,Department:Sales,,
33,Export,3/1/2008,/Cfolder3/CPolicy4,Deny,abraham.lincoln@qapf.qalab01nextlabs.com,3,SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,SharePoint://sharepoint2007:80/sharepoint2007/ReporterSite/Requirements library/copy of PA_prd.doc,cch1.qapf.qalab01.nextlabs.com  10.23.57.200,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Title:Requirements for Policy Author,Resource Signature:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Created by:sharepoint2007\Administrator,Modified by:sharepoint2007\Administrator,Date Created:07-15-2007,Date Modified:02-15-2007,Format:doc,Keywords:PAPRD,Publisher:james garfield,Revision:2.1,Source:sourcedoc2,Status:Final,Subject:Policy Author,Version:V0.7,Custom:~,Obligation: Log SharePoint Control,Department:Sales,,
34,Copy,8/1/2008,/Cfolder3/CPolicy4,Deny,john.adams@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,SharePoint://sharepoint2007:80/sharepoint2007/ReporterSite/Requirements library/copy of PA_prd.doc,cch1.qapf.qalab01.nextlabs.com  10.23.57.200,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Title:Requirements for Policy Author,Resource Signature:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Created by:sharepoint2007\Administrator,Modified by:sharepoint2007\Administrator,Date Created:07-15-2007,Date Modified:02-15-2007,Format:doc,Keywords:PAPRD,Publisher:james garfield,Revision:2.1,Source:sourcedoc2,Status:Final,Subject:Policy Author,Version:V0.7,Custom:~,Obligation: Log SharePoint Control,Department:Sales,,
35,Move,9/1/2008,/Cfolder3/CPolicy4,Deny,chester.arthur@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,SharePoint://sharepoint2007:80/sharepoint2007/ReporterSite/Requirements library/copy of PA_prd.doc,cch1.qapf.qalab01.nextlabs.com  10.23.57.200,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Title:Requirements for Policy Author,Resource Signature:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Created by:sharepoint2007\Administrator,Modified by:sharepoint2007\Administrator,Date Created:07-15-2007,Date Modified:02-15-2007,Format:doc,Keywords:PAPRD,Publisher:james garfield,Revision:2.1,Source:sourcedoc2,Status:Final,Subject:Policy Author,Version:V0.7,Custom:~,Obligation: Log SharePoint Control,Department:Sales,,
36,Delete,9/19/2008,/Cfolder3/CPolicy4,Deny,chester.arthur@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,,cch1.qapf.qalab01.nextlabs.com  10.23.57.200,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Title:Requirements for Policy Author,Resource Signature:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Created by:sharepoint2007\Administrator,Modified by:sharepoint2007\Administrator,Date Created:07-15-2007,Date Modified:02-15-2007,Format:doc,Keywords:PAPRD,Publisher:james garfield,Revision:2.1,Source:sourcedoc2,Status:Final,Subject:Policy Author,Version:V0.7,Custom:~,Obligation: Log SharePoint Control,Department:Sales,,
Department5:HR; Site2:pf-https2/sites/cnqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Attach to Item,4/1/2006,/CE/Department Policy5,Allow/Monitor,gerald.ford@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\AdobeReader\acrobat.pdf,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/a.doc,Created by:pf-https2\Administrator,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:pdf,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:HR,,
38,Open,5/1/2007,/CE/Department Policy5,Allow/Monitor,andrew.jackson@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,,pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                        ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/a.doc,Created by:pf-https2\Administrator,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:pdf,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:HR,,
39,Rename,6/1/2005,/CE/Department Policy5,Allow/Monitor,jimmy.carter@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterDashboardprd.pdf,pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                        ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/a.doc,Created by:pf-https2\Administrator,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:pdf,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:HR,,
40,Create/Edit,7/1/2006,/CE/Department Policy5,Allow/Monitor,john.tyler@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/a.doc,pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                        ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/a.doc,Created by:pf-https2\Administrator,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:pdf,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:HR,,
41,Print,7/1/2006,/CE/Department Policy5,Allow/Monitor,abraham.lincoln@qapf.qalab01nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,,pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                        ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/a.doc,Created by:pf-https2\Administrator,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:pdf,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:HR,,
42,Export,3/1/2008,/CE/Department Policy5,Allow/Monitor,john.adams@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/a.doc,pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                        ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/a.doc,Created by:pf-https2\Administrator,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:pdf,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:HR,,
43,Copy,8/1/2008,/CE/Department Policy5,Allow/Monitor,chester.arthur@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/a.doc,pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                        ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/a.doc,Created by:pf-https2\Administrator,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:pdf,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:HR,,
44,Move,9/1/2008,/CE/Department Policy5,Allow/Monitor,gerald.ford@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/a.doc,pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                        ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/a.doc,Created by:pf-https2\Administrator,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:pdf,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:HR,,
45,Delete,9/19/2008,/CE/Department Policy5,Allow/Monitor,gerald.ford@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,,pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                        ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/a.doc,Created by:pf-https2\Administrator,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:pdf,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:HR,,
Department6:QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Attach to Item,4/1/2006,/CE/Department Policy6,Allow/Monitor,andrew.jackson@qapf.qalab01.nextlabs.com,1,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/ReporterSite/calendar/meeting,,pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                        ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,Title:Requirements document,Resource Signature:SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,Created by:pf-https2\ssudhati,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:pdf,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:QA,,
47,Open,5/1/2007,/CE/Department Policy6,Allow/Monitor,jimmy.carter@qapf.qalab01.nextlabs.com,1,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/ReporterSite/calendar/meeting,,pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                         ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,Title:Requirements document,Resource Signature:SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,Created by:pf-https2\ssudhati,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:pdf,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:QA,,
48,Rename,6/1/2005,/CE/Department Policy6,Allow/Monitor,john.tyler@qapf.qalab01.nextlabs.com,1,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/ReporterSite/calendar/meeting,SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                         ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,Title:Requirements document,Resource Signature:SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,Created by:pf-https2\ssudhati,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:pdf,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:QA,,
49,Create/Edit,7/1/2006,/CE/Department Policy6,Allow/Monitor,abraham.lincoln@qapf.qalab01nextlabs.com,1,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/ReporterSite/calendar/meeting,SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                         ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,Title:Requirements document,Resource Signature:SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,Created by:pf-https2\ssudhati,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:pdf,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:QA,,
50,Print,7/1/2006,/CE/Department Policy6,Allow/Monitor,john.adams@qapf.qalab01.nextlabs.com,1,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/ReporterSite/calendar/meeting,,pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                         ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,Title:Requirements document,Resource Signature:SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,Created by:pf-https2\ssudhati,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:pdf,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:QA,,
51,Export,3/1/2008,/CE/Department Policy6,Allow/Monitor,gerald.ford@qapf.qalab01.nextlabs.com,1,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/ReporterSite/calendar/meeting,SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                         ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,Title:Requirements document,Resource Signature:SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,Created by:pf-https2\ssudhati,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:pdf,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:QA,,
52,Copy,8/1/2008,/CE/Department Policy6,Allow/Monitor,chester.arthur@qapf.qalab01.nextlabs.com,1,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/ReporterSite/calendar/meeting,SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                         ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,Title:Requirements document,Resource Signature:SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,Created by:pf-https2\ssudhati,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:pdf,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:QA,,
53,Move,9/1/2008,/CE/Department Policy6,Allow/Monitor,andrew.jackson@qapf.qalab01.nextlabs.com,1,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/ReporterSite/calendar/meeting,SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                         ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,Title:Requirements document,Resource Signature:SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,Created by:pf-https2\ssudhati,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:pdf,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:QA,,
54,Delete,9/19/2008,/CE/Department Policy6,Allow/Monitor,andrew.jackson@qapf.qalab01.nextlabs.com,1,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/ReporterSite/calendar/meeting,,pf-cc1.qapf.qalab01.nextlabs.com                            10.23.57.203                         ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,Title:Requirements document,Resource Signature:SharePoint://sharepoint2007qapf.qalab01.nextlabs.com/sitea/calendar2/meeting,Created by:pf-https2\ssudhati,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:pdf,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:QA,,
Business Process3:China development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Attach to Item,4/1/2006,/CE/ProcessPolicy1,Deny,jimmy.carter@qapf.qalab01.nextlabs.com,2,SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,X,cch1.qapf.qalab01.nextlabs.com                            10.23.57.200                          ,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,Title:word document,Resource Signature:SharePoint://sharepoint2007.qapf.qalab01.nextlabs.com/Site3/one.doc,Created by:qapf\john.adams,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:doc,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Business Process: China Development,,
